3f23b9dd9f87978b03cdd1910b8e2e805ea7643b,MODIFY,regular-file,SECURITY_IMPLEMENTATION_COMPLETE.md,4755,55
8863de52de6612463f558fc0b717e923c8c58d90,MODIFY,regular-file,web/.jest-cache/jest-transform-cache-d4051a76ed09a80bf66ac9d7b23c8d4e-23d5316c2f532c1ef0d0b6c0d3fd8ee4/1e/connectiontest_1eeafc33b212c906c55585ab77e8a387,15225,15
c78bbfbe2e730cced31a6eda77940a199bc6849b,MODIFY,regular-file,web/.jest-cache/jest-transform-cache-d4051a76ed09a80bf66ac9d7b23c8d4e-23d5316c2f532c1ef0d0b6c0d3fd8ee4/1e/connectiontest_1eeafc33b212c906c55585ab77e8a387.map,7581,1
b67dd9c15a62eed0af5327c0e8ece804f59a80b5,MODIFY,regular-file,web/.jest-cache/jest-transform-cache-d4051a76ed09a80bf66ac9d7b23c8d4e-23d5316c2f532c1ef0d0b6c0d3fd8ee4/56/pollsintegrationtest_561ab4bea631d19d932d6c4dd823c2c7,35735,17
584e8f9c1b90536f6d0c71728830be5db4339f45,MODIFY,regular-file,web/.jest-cache/jest-transform-cache-d4051a76ed09a80bf66ac9d7b23c8d4e-23d5316c2f532c1ef0d0b6c0d3fd8ee4/56/pollsintegrationtest_561ab4bea631d19d932d6c4dd823c2c7.map,17684,1
16794d013fcae8594a987a57b2245cc26603f633,MODIFY,regular-file,web/.jest-cache/jest-transform-cache-d4051a76ed09a80bf66ac9d7b23c8d4e-23d5316c2f532c1ef0d0b6c0d3fd8ee4/f7/connectiontest_f7ac00b5f8112ec114a639bbf14f5f46,12021,15
af265f1af88456bae98c108d3a117435c8b7ab00,MODIFY,regular-file,web/.jest-cache/jest-transform-cache-d4051a76ed09a80bf66ac9d7b23c8d4e-23d5316c2f532c1ef0d0b6c0d3fd8ee4/f7/connectiontest_f7ac00b5f8112ec114a639bbf14f5f46.map,6032,1
d4434539890a287f73f69bdf1807c472eb135128,MODIFY,regular-file,web/jest.env.setup.js,1114,18
6b7b7c4c438ada435c73e8772a7aca2957bcd8a6,MODIFY,regular-file,web/tests/jest/integration/api/polls-integration.test.ts,9853,15
b5e0df3392ba2579e2663263f63d7f76ce21afeb,MODIFY,regular-file,web/tests/jest/unit/database/connection.test.ts,4483,13
